data,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
mog,mog,0,0,-6068.011798418556,40.91429995580475,4.919754517378335,0.3815930097494703,12136.023596837113,81.8285999116095
mog,lm,-191.27703515700236,16.496500569348953,-6259.288833575558,38.342481710435855,2.1573492730154156,0.18781789042513694,12518.577667151116,76.68496342087171
lm,lm,0,0,-5029.837449085249,23.678648810072552,1.9762316303455094,0.12960416177775336,10059.674898170499,47.357297620145104
lm,mog,-0.4733561496164622,0.6734662510209098,-5030.310805234867,23.629487486076883,2.6426089951454204,0.19022114655616057,10060.621610469734,47.258974972153766
