param,Transition location,L1,L2,Difference,BF
beta,before sentence,"159 [147, 172]","159 [147, 172]","0.21 [0.08, 0.33]",11.81
beta,before word,"159 [147, 172]","159 [147, 172]","0.32 [0.28, 0.36]",> 100
beta,within word,"159 [147, 172]","159 [147, 172]","0.12 [0.1, 0.14]",> 100
delta,before sentence,"1,281 [1,082, 1,496]","1,802 [1,557, 2,073]","-0.08 [-0.24, 0.07]",0.14
delta,before word,"289 [254, 327]","560 [507, 617]","0.33 [0.22, 0.44]",> 100
delta,within word,"120 [53, 222]","202 [156, 258]","0.05 [-0.16, 0.26]",0.12
prob,before sentence,".78 [.69, .86]",".92 [.87, .96]","0.97 [0.44, 1.5]",> 100
prob,before word,".51 [.41, .62]",".89 [.83, .93]","1.06 [0.58, 1.54]",> 100
prob,within word,".04 [.02, .07]",".15 [.10, .22]","1.08 [0.56, 1.63]",> 100
