param,Transition location,Pre-test,Post-test,Difference,BF
delta,before sentence,"1,034 [875, 1,210]","1,064 [893, 1,257]","-0.03 [-0.23, 0.17]",0.1
delta,before word,"593 [544, 645]","589 [540, 643]","0.01 [-0.08, 0.1]",0.05
delta,within word,"399 [333, 480]","424 [353, 509]","-0.06 [-0.3, 0.18]",0.14
prob,before sentence,".58 [.50, .66]",".54 [.47, .62]","0.15 [-0.26, 0.58]",0.27
prob,before word,".56 [.50, .61]",".49 [.43, .55]","0.27 [-0.04, 0.59]",0.72
prob,within word,".11 [.08, .14]",".09 [.07, .12]","0.13 [-0.27, 0.54]",0.26
